2020-03-10 12:15:29 [main] INFO  by.bsu.Main - Line[xStart=1, yStart=2, xEnd=11, yEnd=23, color='black']
2020-03-10 12:17:39 [main] INFO  by.bsu.Main - Line[xStart=1, yStart=2, xEnd=11, yEnd=23, color='black']
2020-03-10 12:18:30 [main] INFO  by.bsu.Main - Line[xStart=1, yStart=2, xEnd=11, yEnd=23, color='white']
2020-03-10 12:21:45 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=black], Point[x=1, y=2, color=black], Point[x=2, y=2, color=black], Point[x=2, y=1, color=black]]]
2020-03-10 12:22:19 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=red], Point[x=1, y=2, color=red], Point[x=2, y=2, color=red], Point[x=2, y=1, color=red]]]
2020-03-10 12:22:56 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=red], Point[x=1, y=2, color=red], Point[x=2, y=2, color=red], Point[x=2, y=1, color=red]], color=red]
2020-03-12 17:44:16 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1.0, y=1.0, color=red], Point[x=1.0, y=2.0, color=red], Point[x=2.0, y=2.0, color=red], Point[x=2.0, y=1.0, color=red]], color=red]
2020-03-12 17:44:16 [main] INFO  by.bsu.functional.Scaling - 0.42993358039234775
2020-03-12 17:44:26 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1.0, y=1.0, color=red], Point[x=1.0, y=2.0, color=red], Point[x=2.0, y=2.0, color=red], Point[x=2.0, y=1.0, color=red]], color=red]
2020-03-12 17:44:26 [main] INFO  by.bsu.functional.Scaling - 0.42993358039234775
2020-03-12 18:07:31 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=21.0, yEnd=44.00000000000001, color='black']
2020-03-12 18:08:57 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=11.0, yEnd=23.0, length=23.259406699226016, color='black']
2020-03-12 18:08:57 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=21.0, yEnd=44.00000000000001, length=46.51881339845203, color='black']
2020-03-12 18:09:22 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=11.0, yEnd=23.0, length=23.259406699226016, color='black']
2020-03-12 18:09:22 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=16.0, yEnd=33.5, length=34.88911004883902, color='black']
2020-03-12 18:16:33 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=11.0, yEnd=23.0, length=23.259406699226016, color='black']
2020-03-12 18:16:33 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=16.0, yEnd=33.5, length=34.88911004883902, color='black']
2020-03-12 18:16:50 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=11.0, yEnd=23.0, length=23.259406699226016, color='black']
2020-03-12 18:16:50 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=12.0, yEnd=25.1, length=25.585347369148618, color='black']
2020-03-12 18:39:13 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=11.0, yEnd=23.0, length=23.259406699226016, color='black']
2020-03-12 18:39:13 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=12.0, yEnd=25.1, length=25.585347369148618, color='black']
